# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 6.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-02
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
28            	1.039008e-01	9.487833e-01	-2.899190e-02	8.940483e-02	-1.183967e-01
29            	1.035577e-01	1.171117e+00	-4.432296e-02	8.139623e-02	-1.257192e-01
30            	2.904391e-01	9.477837e-01	3.952234e-01	4.880508e-01	-9.282737e-02
31            	2.988720e-01	-5.713140e-02	5.927005e-01	5.952222e-01	-2.521686e-03
32            	1.652611e-01	-4.314936e-01	3.522043e-01	3.413632e-01	1.084108e-02
33            	1.119340e-01	4.018140e-02	1.485098e-01	1.861889e-01	-3.767907e-02
34            	1.661561e-01	8.002306e-01	1.444474e-01	2.383798e-01	-9.393236e-02
35            	1.352590e-01	6.058365e-01	1.377091e-01	2.041135e-01	-6.640443e-02
36            	9.908334e-02	2.066270e-01	1.466183e-01	1.723925e-01	-2.577418e-02
37            	8.151656e-02	-1.592952e-01	1.849327e-01	1.739829e-01	1.094977e-02
38            	8.297799e-02	-1.510554e-01	1.884229e-01	1.771894e-01	1.123346e-02
39            	1.169726e-02	6.019695e-02	-2.533962e-02	-9.725508e-04	-2.436707e-02
40            	-7.058175e-02	3.381426e-01	-2.724756e-01	-2.068196e-01	-6.565605e-02
41            	-3.765274e-02	7.877763e-02	-1.309805e-01	-1.031430e-01	-2.783753e-02
42            	5.890647e-02	-3.415759e-01	1.995501e-01	1.586815e-01	4.086860e-02
43            	-3.448114e-02	-3.707404e-01	-2.501666e-03	-3.573198e-02	3.323031e-02
44            	-2.334068e-01	-1.752441e-02	-5.320708e-01	-4.994423e-01	-3.262857e-02
45            	-1.871359e-01	-9.532742e-02	-4.181870e-01	-3.962294e-01	-2.195758e-02
46            	-3.261814e-02	-2.782164e-01	-1.636242e-02	-4.079935e-02	2.443693e-02
47            	-7.884740e-02	-3.745014e-01	-1.071864e-01	-1.324406e-01	2.525418e-02
48            	-1.966974e-01	-3.291248e-01	-3.906283e-01	-3.920115e-01	1.383192e-03
49            	-2.418822e-01	-2.556892e-01	-4.899810e-01	-4.868727e-01	-3.108306e-03
50            	-2.472775e-01	-5.676715e-02	-5.132439e-01	-5.038994e-01	-9.344416e-03
51            	-2.300970e-01	-1.203714e-01	-4.910117e-01	-4.756029e-01	-1.540884e-02
52            	-1.886838e-01	-2.856590e-01	-4.008207e-01	-3.890942e-01	-1.172657e-02
53            	-1.981840e-01	-1.612168e-01	-4.376072e-01	-4.169876e-01	-2.061960e-02
54            	-2.216761e-01	1.264536e-01	-5.179399e-01	-4.806460e-01	-3.729385e-02
55            	-2.325068e-01	1.478541e-01	-5.617339e-01	-5.133737e-01	-4.836014e-02
56            	-2.249234e-01	5.467338e-02	-5.626801e-01	-5.062635e-01	-5.641661e-02
57            	-2.059030e-01	1.016374e-01	-5.342334e-01	-4.730197e-01	-6.121368e-02
58            	-1.908116e-01	2.038127e-01	-5.132073e-01	-4.474153e-01	-6.579198e-02
59            	-1.913577e-01	2.108493e-01	-5.188387e-01	-4.507770e-01	-6.806163e-02
60            	-1.963580e-01	1.914232e-01	-5.338939e-01	-4.633049e-01	-7.058897e-02
61            	-1.881304e-01	1.702041e-01	-5.181101e-01	-4.471855e-01	-7.092463e-02
62            	-1.785612e-01	1.960628e-01	-5.000685e-01	-4.285954e-01	-7.147303e-02
63            	-1.512783e-01	2.596441e-01	-4.437233e-01	-3.731400e-01	-7.058331e-02
64            	-1.318728e-01	3.435607e-01	-4.050644e-01	-3.344050e-01	-7.065942e-02
65            	-1.011860e-01	3.337343e-01	-3.339662e-01	-2.681691e-01	-6.579706e-02
66            	-7.360280e-02	2.887443e-01	-2.712155e-01	-2.092106e-01	-6.200498e-02
67            	-3.940867e-02	3.377392e-01	-1.901359e-01	-1.344766e-01	-5.565930e-02
68            	-2.086714e-02	4.628249e-01	-1.504214e-01	-9.607786e-02	-5.434357e-02
69            	3.469352e-02	4.144486e-01	-1.902348e-02	2.518178e-02	-4.420526e-02
70            	1.055290e-01	2.423302e-01	1.484161e-01	1.797371e-01	-3.132095e-02
71            	1.198271e-01	3.614693e-01	1.784834e-01	2.090688e-01	-3.058542e-02
72            	1.124499e-01	5.750450e-01	1.500212e-01	1.874605e-01	-3.743928e-02
73            	1.587436e-01	4.887434e-01	2.677863e-01	2.926368e-01	-2.485046e-02
74            	2.272012e-01	3.042226e-01	4.410956e-01	4.477490e-01	-6.653386e-03
75            	2.393704e-01	3.381856e-01	4.650363e-01	4.718885e-01	-6.852224e-03
76            	2.342798e-01	4.480109e-01	4.410386e-01	4.547990e-01	-1.376046e-02
77            	2.493190e-01	4.627613e-01	4.755004e-01	4.870693e-01	-1.156883e-02
78            	2.620750e-01	4.020933e-01	5.119327e-01	5.180413e-01	-6.108672e-03
79            	2.627157e-01	3.048646e-01	5.235554e-01	5.244934e-01	-9.380266e-04
80            	2.534319e-01	3.200450e-01	4.951561e-01	5.010099e-01	-5.853882e-03
81            	2.435204e-01	3.731927e-01	4.604204e-01	4.737306e-01	-1.331016e-02
82            	2.230068e-01	3.339233e-01	4.162625e-01	4.311381e-01	-1.487560e-02
83            	2.016466e-01	2.585679e-01	3.776743e-01	3.904838e-01	-1.280949e-02
84            	1.949451e-01	2.518690e-01	3.566970e-01	3.732936e-01	-1.659654e-02
85            	2.079434e-01	3.005287e-01	3.707248e-01	3.933058e-01	-2.258102e-02
86            	1.827528e-01	2.605575e-01	3.174478e-01	3.414767e-01	-2.402889e-02
87            	1.564640e-01	2.111545e-01	2.680985e-01	2.905133e-01	-2.241473e-02
88            	1.592059e-01	2.145333e-01	2.719749e-01	2.951933e-01	-2.321849e-02
89            	1.929150e-01	2.695831e-01	3.366154e-01	3.612227e-01	-2.460728e-02
90            	1.911636e-01	2.502146e-01	3.360443e-01	3.591857e-01	-2.314142e-02
91            	1.788349e-01	1.834382e-01	3.184085e-01	3.380392e-01	-1.963068e-02
92            	1.882895e-01	2.174735e-01	3.390690e-01	3.578240e-01	-1.875498e-02
93            	2.191847e-01	4.655894e-01	4.000151e-01	4.191923e-01	-1.917719e-02
94            	2.252659e-01	2.640877e-01	4.223475e-01	4.364396e-01	-1.409219e-02
95            	2.317596e-01	-3.279973e-01	4.602877e-01	4.619035e-01	-1.615748e-03
96            	2.185909e-01	6.297906e-02	4.145999e-01	4.258908e-01	-1.129094e-02
97            	2.521492e-01	8.561827e-01	4.482489e-01	4.762736e-01	-2.802475e-02
98            	1.952812e-01	5.874588e-01	3.433140e-01	3.669382e-01	-2.362421e-02
99            	1.305597e-01	-2.068252e-01	2.597811e-01	2.604502e-01	-6.691437e-04
100           	1.144409e-01	-4.194459e-03	1.872525e-01	2.080671e-01	-2.081464e-02
101           	1.961992e-01	6.459220e-01	2.840225e-01	3.382105e-01	-5.418796e-02
102           	1.294023e-01	5.479266e-01	1.585809e-01	2.086927e-01	-5.011183e-02
103           	6.446763e-02	1.823643e-01	8.742505e-02	1.081802e-01	-2.075511e-02
104           	2.565019e-02	2.040895e-01	-3.224595e-02	9.527216e-03	-4.177317e-02
105           	1.105693e-01	5.111985e-01	7.823136e-02	1.496850e-01	-7.145362e-02
106           	4.361967e-02	3.859861e-01	-4.554443e-02	2.084745e-02	-6.639188e-02
107           	-7.466781e-02	8.677417e-02	-2.323851e-01	-1.908604e-01	-4.152475e-02
108           	3.693595e-02	1.701548e-01	1.331715e-02	4.359453e-02	-3.027738e-02
109           	3.417181e-01	8.201908e-01	5.921379e-01	6.377871e-01	-4.564920e-02
110           	1.281230e-01	4.910184e-01	1.407112e-01	1.984786e-01	-5.776743e-02
111           	-3.789598e-01	-6.562187e-01	-8.472966e-01	-8.026081e-01	-4.468850e-02
112           	-5.916589e-02	-2.642437e-02	-1.914196e-01	-1.548757e-01	-3.654393e-02
113           	9.000838e-01	3.486718e+00	1.681317e+00	1.740742e+00	-5.942545e-02
114           	5.631997e-01	7.385020e-01	1.121753e+00	1.124076e+00	-2.322995e-03
115           	-5.701722e-01	-4.333100e+00	-9.031380e-01	-1.021741e+00	1.186032e-01
116           	-3.464342e-01	-2.206744e+00	-6.250642e-01	-6.589663e-01	3.390208e-02
117           	3.690082e-01	3.618598e+00	4.506993e-01	5.943578e-01	-1.436585e-01
118           	5.924494e-01	3.196954e+00	9.600629e-01	1.072481e+00	-1.124179e-01
119           	3.953047e-01	3.137006e-01	7.870326e-01	7.888210e-01	-1.788411e-03
120           	1.210659e-01	-1.532138e+00	3.302956e-01	2.862137e-01	4.408188e-02
121           	-2.733800e-02	-8.054182e-01	-4.219687e-02	-4.843643e-02	6.239561e-03
122           	5.725492e-02	1.342550e+00	4.163100e-02	7.807042e-02	-3.643942e-02
123           	1.069761e-01	1.445217e+00	5.322308e-02	1.335877e-01	-8.036461e-02
124           	9.683873e-02	7.240667e-02	-6.134042e-02	6.616852e-02	-1.275089e-01
125           	-1.307966e-02	1.265183e-01	-2.189128e-01	-1.225360e-01	-9.637674e-02
126           	-2.073416e-01	1.124620e+00	-5.047754e-01	-4.597293e-01	-4.504605e-02
127           	-2.049354e-01	6.335767e-01	-5.415190e-01	-4.756949e-01	-6.582411e-02
128           	-6.885055e-02	-5.442327e-01	-3.579628e-01	-2.478319e-01	-1.101309e-01
129           	-1.640318e-01	2.644473e-01	-5.758117e-01	-4.519376e-01	-1.238741e-01
130           	-3.919627e-01	1.800521e+00	-1.082060e+00	-9.329925e-01	-1.490671e-01
131           	-2.258886e-01	1.017364e+00	-6.478610e-01	-5.498191e-01	-9.804187e-02
132           	3.190752e-02	-4.198575e-01	-4.245909e-02	1.067797e-02	-5.313706e-02
133           	-8.036800e-02	2.211567e-01	-3.336720e-01	-2.472040e-01	-8.646800e-02
134           	-3.127251e-01	1.750967e+00	-9.306091e-01	-7.780297e-01	-1.525794e-01
135           	-2.853585e-01	7.884378e-01	-7.879227e-01	-6.793199e-01	-1.086029e-01
136           	-1.824692e-01	-1.829826e+00	-3.600923e-01	-3.625154e-01	2.423059e-03
137           	-8.658909e-02	-6.252289e-01	-2.060959e-01	-1.896370e-01	-1.645887e-02
138           	-5.498679e-02	3.134349e+00	-4.266408e-01	-2.683072e-01	-1.583336e-01
139           	4.842561e-02	1.880447e+00	-1.055252e-01	-4.337008e-03	-1.011882e-01
140           	1.717229e-01	-1.383106e+00	3.915529e-01	3.674993e-01	2.405354e-02
141           	2.189168e-01	-9.471203e-01	4.735510e-01	4.556923e-01	1.785869e-02
142           	1.209115e-01	1.520385e+00	7.537309e-02	1.585980e-01	-8.322492e-02
143           	1.480291e-01	1.462746e+00	1.701075e-01	2.330829e-01	-6.297538e-02
144           	1.704417e-01	5.051834e-01	2.958444e-01	3.183639e-01	-2.251947e-02
145           	3.249103e-01	2.740208e-02	6.947611e-01	6.722909e-01	2.247024e-02
146           	4.321477e-01	1.307953e-01	9.275303e-01	8.959128e-01	3.161746e-02
147           	3.513018e-01	5.410649e-01	6.948572e-01	6.987304e-01	-3.873209e-03
148           	1.896784e-01	9.127968e-01	2.702718e-01	3.248144e-01	-5.454250e-02
149           	2.422351e-01	8.004927e-01	4.285539e-01	4.565120e-01	-2.795811e-02
150           	3.510299e-01	4.892328e-01	7.298287e-01	7.159442e-01	1.388447e-02
151           	3.040014e-01	3.795909e-01	6.143943e-01	6.111986e-01	3.195685e-03
152           	1.527242e-01	4.806561e-01	2.180079e-01	2.617282e-01	-4.372031e-02
153           	1.174795e-01	6.030444e-01	1.345841e-01	1.847715e-01	-5.018741e-02
154           	1.215802e-01	7.717848e-01	1.567720e-01	1.999662e-01	-4.319418e-02
155           	6.301357e-02	6.436153e-01	1.245799e-02	6.924257e-02	-5.678458e-02
156           	-1.844478e-02	2.909343e-01	-2.317580e-01	-1.343238e-01	-9.743424e-02
157           	-5.667138e-02	4.851212e-01	-2.920737e-01	-2.027082e-01	-8.936545e-02
158           	-8.176082e-02	1.220233e+00	-3.024630e-01	-2.329923e-01	-6.947067e-02
159           	-8.380063e-02	7.337198e-01	-3.272780e-01	-2.474396e-01	-7.983837e-02
160           	-6.435279e-02	-4.611472e-01	-3.517323e-01	-2.402190e-01	-1.115134e-01
161           	-1.602912e-01	3.674094e-01	-5.890142e-01	-4.547983e-01	-1.342159e-01
162           	-3.365269e-01	2.301853e+00	-1.055682e+00	-8.643677e-01	-1.913139e-01
163           	-2.706275e-01	1.250711e+00	-8.222070e-01	-6.817310e-01	-1.404760e-01
164           	-1.323946e-01	-1.051320e+00	-3.428096e-01	-3.037994e-01	-3.901015e-02
165           	-1.496234e-01	-9.957683e-02	-4.887402e-01	-3.939934e-01	-9.474672e-02
166           	-2.248145e-01	2.275849e+00	-8.947272e-01	-6.721781e-01	-2.225492e-01
167           	-2.833009e-01	1.433080e+00	-9.013472e-01	-7.339744e-01	-1.673727e-01
168           	-3.988267e-01	-6.684315e-01	-8.918438e-01	-8.447486e-01	-4.709521e-02
169           	-2.630153e-01	-7.748366e-02	-6.580045e-01	-5.920175e-01	-6.598696e-02
170           	8.598301e-02	1.827242e+00	-1.149113e-01	2.852736e-02	-1.434387e-01
171           	-1.225698e-01	1.292444e+00	-5.132339e-01	-3.791868e-01	-1.340471e-01
172           	-5.800828e-01	-1.571159e-01	-1.354443e+00	-1.257304e+00	-9.713897e-02
173           	-3.272974e-01	1.732149e-01	-7.930551e-01	-7.238250e-01	-6.923013e-02
174           	2.861694e-01	1.393212e+00	5.018647e-01	5.371017e-01	-3.523704e-02
175           	1.017952e-01	9.060580e-01	1.048760e-01	1.542332e-01	-4.935715e-02
176           	-3.542715e-01	-3.969127e-01	-8.475847e-01	-7.780639e-01	-6.952085e-02
177           	-2.027879e-01	1.112828e-01	-5.305236e-01	-4.680497e-01	-6.247385e-02
178           	2.275221e-01	1.272057e+00	3.857302e-01	4.203872e-01	-3.465695e-02
179           	3.194830e-01	8.708219e-01	6.667117e-01	6.528389e-01	1.387283e-02
180           	1.779442e-01	1.678402e-01	3.678062e-01	3.618473e-01	5.958908e-03
181           	5.539458e-02	2.394595e-01	-1.498450e-02	4.790233e-02	-6.288683e-02
182           	1.918114e-01	3.359950e-01	3.275507e-01	3.555868e-01	-2.803608e-02
183           	4.896622e-01	1.650547e-01	1.181580e+00	1.080452e+00	1.011280e-01
184           	3.413979e-01	5.968469e-01	7.038369e-01	6.933163e-01	1.052056e-02
185           	-1.419220e-01	1.314416e+00	-7.423077e-01	-5.130758e-01	-2.292319e-01
186           	-4.157127e-02	8.849006e-01	-3.707917e-01	-2.269671e-01	-1.438246e-01
187           	4.774152e-01	-1.363556e-01	1.264567e+00	1.109699e+00	1.548682e-01
188           	3.533198e-01	4.206165e-02	8.674750e-01	7.870574e-01	8.041768e-02
189           	-1.792439e-01	1.103257e+00	-7.963541e-01	-5.774210e-01	-2.189331e-01
190           	-1.678101e-01	8.780149e-01	-6.881333e-01	-5.118768e-01	-1.762565e-01
191           	1.212269e-01	-8.968660e-02	2.764496e-01	2.594517e-01	1.699791e-02
192           	1.739485e-02	3.640764e-01	-1.910106e-02	7.844322e-03	-2.694538e-02
193           	-2.269118e-01	1.358001e+00	-7.636731e-01	-6.087483e-01	-1.549248e-01
194           	-2.467192e-01	9.782945e-01	-8.109620e-01	-6.522002e-01	-1.587618e-01
195           	-1.836211e-01	9.906339e-02	-5.968460e-01	-4.820442e-01	-1.148019e-01
196           	-1.633375e-01	1.819802e-01	-5.256832e-01	-4.261791e-01	-9.950405e-02
197           	-2.064034e-01	7.915540e-01	-6.448404e-01	-5.288236e-01	-1.160168e-01
198           	-2.233795e-01	9.981354e-01	-6.958376e-01	-5.712983e-01	-1.245392e-01
199           	-1.950422e-01	7.526092e-01	-6.205487e-01	-5.053165e-01	-1.152322e-01
200           	-1.774377e-01	4.091347e-01	-5.576171e-01	-4.562463e-01	-1.013708e-01
201           	-1.096447e-01	4.600799e-01	-3.991056e-01	-3.091975e-01	-8.990806e-02
202           	5.988925e-02	1.121940e+00	-9.142025e-02	1.417912e-02	-1.055994e-01
203           	2.774371e-02	7.166927e-01	-8.565025e-02	-1.508141e-02	-7.056884e-02
204           	-1.361638e-01	-2.464907e-01	-3.314293e-01	-3.018785e-01	-2.955082e-02
205           	-3.168512e-02	4.016701e-01	-1.488088e-01	-1.060895e-01	-4.271929e-02
206           	7.374757e-02	1.674085e+00	-2.586548e-02	6.081483e-02	-8.668031e-02
207           	2.170013e-01	1.107510e+00	3.301326e-01	3.820676e-01	-5.193496e-02
208           	4.099958e-01	-2.487921e-01	8.327356e-01	8.263636e-01	6.371985e-03
209           	2.715682e-01	2.807135e-01	5.363728e-01	5.397546e-01	-3.381797e-03
210           	-1.583342e-03	1.484449e+00	-7.610885e-02	-3.963776e-02	-3.647108e-02
211           	2.271489e-01	1.048497e+00	4.232341e-01	4.387660e-01	-1.553187e-02
212           	6.396952e-01	1.067865e-01	1.299203e+00	1.289297e+00	9.906385e-03
213           	5.237552e-01	2.582825e-01	1.070355e+00	1.058933e+00	1.142230e-02
214           	2.468856e-01	7.341624e-01	5.559691e-01	5.248702e-01	3.109894e-02
215           	2.597598e-01	7.926474e-01	5.253959e-01	5.224577e-01	2.938203e-03
216           	4.211326e-01	6.797652e-01	7.251780e-01	7.837217e-01	-5.854361e-02
217           	3.870795e-01	5.949780e-01	6.923088e-01	7.332339e-01	-4.092514e-02
218           	3.488711e-01	7.560600e-01	7.385616e-01	7.181519e-01	2.040974e-02
219           	2.380997e-01	5.710722e-01	4.651250e-01	4.706622e-01	-5.537189e-03
220           	1.269274e-01	2.058556e-01	1.133342e-01	1.835945e-01	-7.026026e-02
221           	1.025009e-01	4.606974e-01	4.925646e-02	1.271291e-01	-7.787264e-02
222           	1.692327e-01	1.053682e+00	2.162711e-01	2.773682e-01	-6.109712e-02
223           	4.404820e-02	7.744954e-01	-5.504398e-02	1.652621e-02	-7.157019e-02
224           	-9.846728e-02	2.470823e-01	-3.702115e-01	-2.835730e-01	-8.663847e-02
225           	-1.437212e-01	4.328741e-01	-4.984409e-01	-3.929416e-01	-1.054993e-01
226           	-7.448718e-02	9.397869e-01	-3.907406e-01	-2.698575e-01	-1.208831e-01
227           	-1.343321e-01	8.045106e-01	-5.179727e-01	-3.933184e-01	-1.246543e-01
228           	-2.409565e-01	4.384899e-01	-7.298154e-01	-6.058642e-01	-1.239512e-01
229           	-2.196099e-01	4.788778e-01	-6.902553e-01	-5.647375e-01	-1.255178e-01
230           	-5.513814e-02	8.005011e-01	-3.575536e-01	-2.339150e-01	-1.236387e-01
231           	-1.611742e-01	6.572057e-01	-5.751673e-01	-4.487578e-01	-1.264095e-01
232           	-3.812672e-01	2.956671e-01	-1.023302e+00	-8.929181e-01	-1.303836e-01
233           	-2.725023e-01	4.171473e-01	-7.902698e-01	-6.676372e-01	-1.226326e-01
234           	5.352099e-02	8.391777e-01	-1.043101e-01	1.365942e-03	-1.056760e-01
235           	-9.106443e-02	6.471131e-01	-4.060025e-01	-2.940657e-01	-1.119368e-01
236           	-4.720107e-01	1.473127e-01	-1.195213e+00	-1.069617e+00	-1.255960e-01
237           	-2.945781e-01	3.350872e-01	-8.070469e-01	-6.981016e-01	-1.089454e-01
238           	3.704707e-01	1.207098e+00	5.931751e-01	6.670582e-01	-7.388315e-02
239           	-2.399257e-02	6.271028e-01	-2.202604e-01	-1.341228e-01	-8.613764e-02
240           	-1.045491e+00	-9.216833e-01	-2.352588e+00	-2.221785e+00	-1.308035e-01
241           	-7.591907e-01	-2.623472e-01	-1.754385e+00	-1.636383e+00	-1.180020e-01
242           	3.652693e-01	1.955957e+00	5.816202e-01	6.560794e-01	-7.445916e-02
243           	2.300530e-01	1.113609e+00	3.474225e-01	4.037643e-01	-5.634177e-02
244           	-3.726567e-01	-6.426888e-01	-8.509960e-01	-7.981547e-01	-5.284132e-02
245           	-4.204314e-01	-3.542356e-01	-9.846443e-01	-9.127535e-01	-7.189079e-02
246           	-1.358597e-01	8.133854e-01	-4.395897e-01	-3.556546e-01	-8.393517e-02
247           	2.847529e-02	1.585931e+00	-9.305086e-02	-1.805014e-02	-7.500072e-02
248           	8.648682e-02	9.708985e-01	6.284380e-02	1.179087e-01	-5.506492e-02
249           	5.935432e-02	-3.683904e-01	3.819352e-02	7.845109e-02	-4.025756e-02
250           	-9.498711e-02	5.622048e-02	-3.150938e-01	-2.525340e-01	-6.255978e-02
251           	-1.829789e-01	1.322166e+00	-5.422207e-01	-4.540893e-01	-8.813144e-02
252           	1.820666e-03	1.149648e+00	-1.083246e-01	-5.234165e-02	-5.598298e-02
253           	1.098976e-01	4.355855e-01	1.138547e-01	1.668250e-01	-5.297030e-02
254           	2.213789e-01	-4.120540e-02	4.508018e-01	4.467798e-01	4.022043e-03
255           	2.417397e-01	1.051381e-01	5.550001e-01	5.192398e-01	3.576034e-02
256           	1.387860e-01	6.330507e-01	2.556959e-01	2.666340e-01	-1.093806e-02
257           	1.039885e-01	7.344578e-01	1.005667e-01	1.542718e-01	-5.370513e-02
258           	1.804149e-01	5.322896e-01	2.747235e-01	3.177766e-01	-4.305317e-02
259           	2.111775e-01	3.695532e-01	3.738120e-01	3.980835e-01	-2.427151e-02
260           	2.084827e-01	2.702772e-01	4.053302e-01	4.111478e-01	-5.817538e-03
261           	2.338476e-01	3.638446e-01	4.660791e-01	4.668871e-01	-8.080581e-04
262           	2.516268e-01	6.392451e-01	4.521656e-01	4.777096e-01	-2.554401e-02
263           	1.515787e-01	5.894902e-01	1.970237e-01	2.500905e-01	-5.306684e-02
264           	7.266643e-02	2.609017e-01	5.920108e-02	1.022670e-01	-4.306589e-02
265           	9.138105e-02	4.071097e-01	8.961012e-02	1.361861e-01	-4.657598e-02
266           	1.557909e-01	7.975887e-01	1.845450e-01	2.480634e-01	-6.351842e-02
267           	5.174652e-02	7.442500e-01	-5.381759e-02	2.483772e-02	-7.865531e-02
268           	-8.133523e-02	5.278614e-01	-3.409730e-01	-2.518217e-01	-8.915127e-02
269           	-1.484181e-01	5.242687e-01	-5.124028e-01	-4.046194e-01	-1.077833e-01
270           	-1.124381e-01	7.060239e-01	-4.484966e-01	-3.366864e-01	-1.118102e-01
271           	-1.646616e-01	8.705116e-01	-5.790182e-01	-4.541707e-01	-1.248475e-01
272           	-2.365307e-01	7.968844e-01	-7.398497e-01	-6.064556e-01	-1.333941e-01
273           	-2.645345e-01	6.465548e-01	-7.937047e-01	-6.613869e-01	-1.323178e-01
274           	-2.426647e-01	7.298907e-01	-7.494916e-01	-6.174105e-01	-1.320811e-01
275           	-2.679072e-01	8.388709e-01	-8.163806e-01	-6.760975e-01	-1.402831e-01
276           	-2.760894e-01	8.462073e-01	-8.343983e-01	-6.932886e-01	-1.411097e-01
277           	-2.499834e-01	7.609872e-01	-7.604117e-01	-6.301892e-01	-1.302225e-01
278           	-1.970435e-01	6.930310e-01	-6.260628e-01	-5.100749e-01	-1.159879e-01
279           	-1.809348e-01	6.714959e-01	-5.773304e-01	-4.695999e-01	-1.077304e-01
280           	-2.798123e-01	6.511142e-01	-7.832598e-01	-6.714422e-01	-1.118176e-01
281           	-1.314663e-01	7.342672e-01	-4.492991e-01	-3.561158e-01	-9.318323e-02
282           	1.439980e-01	9.704929e-01	1.344018e-01	2.111989e-01	-7.679714e-02
283           	1.091645e-01	8.723370e-01	9.643458e-02	1.573818e-01	-6.094722e-02
284           	-2.094251e-01	6.248099e-01	-5.399466e-01	-4.793984e-01	-6.054822e-02
285           	-3.448863e-02	6.353864e-01	-1.622575e-01	-1.156174e-01	-4.664013e-02
286           	3.383494e-01	8.660599e-01	6.098065e-01	6.432526e-01	-3.344611e-02
287           	3.244704e-01	8.050568e-01	6.049079e-01	6.269244e-01	-2.201648e-02
288           	1.429834e-01	7.391501e-01	2.394626e-01	2.627147e-01	-2.325212e-02
289           	2.298823e-01	6.722303e-01	4.560788e-01	4.579217e-01	-1.842837e-03
290           	3.921401e-01	6.426130e-01	8.275783e-01	8.059292e-01	2.164904e-02
291           	4.201776e-01	7.080802e-01	8.561812e-01	8.482682e-01	7.913012e-03
292           	3.395811e-01	8.713457e-01	5.806755e-01	6.299189e-01	-4.924334e-02
293           	3.659530e-01	6.720778e-01	7.061633e-01	7.190347e-01	-1.287141e-02
294           	5.504830e-01	2.568246e-01	1.324564e+00	1.212765e+00	1.117992e-01
295           	3.915450e-01	4.338401e-01	8.394899e-01	8.112899e-01	2.819994e-02
296           	-1.500518e-02	1.080364e+00	-4.364672e-01	-2.332388e-01	-2.032284e-01
297           	9.469349e-02	7.543704e-01	-5.399324e-02	6.769687e-02	-1.216901e-01
